ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS
2011;'110611031; ;7;Secção;342;339;339;0;3;264;264;20
2011;'110611032; ;7;Secção;313;313;313;0;0;239;239;59
2011;'110611033; ;7;Secção;328;326;326;0;2;247;247;14
2011;'110611034; ;7;Secção;342;342;342;0;0;271;271;34
2011;'110611035; ;7;Secção;367;367;367;0;0;297;297;51
2011;'110612001; ;7;Secção;349;348;347;1;1;189;190;136
2011;'110613001; ;7;Secção;369;369;359;10;0;290;300;50
2011;'110613002; ;7;Secção;356;356;355;1;0;255;256;83
2011;'110613003; ;7;Secção;394;394;394;0;0;315;315;74
2011;'110613004; ;7;Secção;254;254;253;1;0;207;208;31
2011;'110613005; ;7;Secção;124;123;121;2;1;113;115;2
2011;'110613006; ;7;Secção;252;251;251;0;1;187;187;48
2011;'110613007; ;7;Secção;312;312;312;0;0;260;260;20
2011;'110613008; ;7;Secção;285;285;285;0;0;229;229;52
2011;'110613009; ;7;Secção;379;379;379;0;0;298;298;64
